k,silhouette,calinski_harabasz,davies_bouldin
2,0.7177050084803643,1746.7422176420093,1.131994796200042
3,0.5195804268125743,1596.5429751678005,1.2043791922984832
4,0.22081980732725914,1674.6455681192792,1.3050864460879017
5,0.21646979245701528,1613.2436327303226,1.3346669993593465
6,0.20747633434737134,1498.0229794457377,1.3084111279912
7,0.2124116215801274,1473.8552054142474,1.2744515471582918
8,0.185347223300803,1376.1054738443727,1.3171871954052021
9,0.18567659469100206,1454.9788088327641,1.1917719028081417
10,0.17172297751238663,1355.163366497719,1.2642393381100585
