PC1,PC2,cluster_kmeans,cluster_agg
74.00431888056669,-23.702399248644973,1,0
33.186566967196384,-8.812656526472026,1,0
30.044031586793125,-8.213224822238903,1,0
29.62746874728553,-7.300755889249114,1,0
25.88229472224224,-9.198087898299436,1,0
26.636895073726286,-6.071177704046998,1,0
22.286414090189616,-4.7539211796243235,1,0
21.648462554860583,-5.727051584185443,1,0
17.37487130077331,-6.325536559102976,1,0
19.683724801844285,-5.99158961420629,1,0
22.383794746509306,-3.9174022387123353,1,0
26.570804679122677,-5.4455594456572065,1,0
20.17341477681681,-5.447564914871448,1,0
15.10852254784976,-1.2929302847347122,1,0
14.74730129788921,-2.0241304673421388,1,0
15.55327050304484,-4.592777534862897,1,0
13.800993318831338,-2.095476995419662,1,0
15.246096880529858,-1.1096092809085296,1,0
12.74992040890046,-1.9734657239120454,1,0
13.144554001138166,-4.661468696139054,1,0
12.091940845464803,-2.685450980476594,1,0
12.690629312752527,-0.8311536669013019,1,0
13.385869575610407,-3.090391644458842,1,0
11.748213421837349,-1.1431512931661976,1,0
12.937259975343935,-0.5397989805673072,1,0
12.423156264790572,-1.7857459262011506,1,0
11.93873237728036,-2.532630476704512,1,0
13.377445800143104,-0.9225773651348065,1,0
13.203786773562829,-2.0845314889471673,1,0
11.950169507675772,0.42286659816047556,1,0
16.749520994121507,-3.2715740853657382,1,0
11.00477095915808,0.27270266357390555,1,0
10.728636844741159,0.5415022871424583,1,0
10.023094711256913,-1.454811926315859,1,0
10.754522372351941,-0.5752944574940819,1,0
11.49529982161633,-1.5947196037625901,1,0
10.62224292078808,-1.1962161326296619,1,0
10.952774536367103,-0.3029607662508145,1,0
8.301848193804005,-3.9198842747040787,1,0
7.966621714253499,-2.682655527951138,1,0
9.641351394665321,-1.8125243523011694,1,0
9.195504284374309,0.6051516770243712,1,0
10.193880458310437,-0.8746344588701375,1,0
9.229520966120935,0.21455743630780216,1,0
8.448432113049774,-0.8585764947822075,1,0
7.224445497391194,-2.414851340104863,1,0
7.843357546092434,-4.804915750746877,1,0
8.530609749159579,0.26225411210385313,1,0
10.20147299657367,-0.6675248098493529,1,0
7.795413389316651,-2.233062394144292,1,0
9.17836678194894,1.4610082216987104,1,0
8.194974844792181,-3.122327030241751,1,0
7.090295274479405,1.2473503175853515,1,0
8.115320546750356,-2.4801085773780978,1,0
7.143324888542304,-2.838738497907996,1,0
8.443318899515985,-2.2063546911810854,1,0
8.248913553056756,0.12992939340018828,1,0
7.7463041978624645,-0.45284543018238965,1,0
7.985629845104982,-0.6669115031594278,1,0
7.67781409670875,-0.8706832415641939,1,0
7.898121114493977,-0.703928936415969,1,0
7.304576807748618,-1.89774085008727,1,0
7.196570172829549,-2.58187245796683,1,0
7.958860335903981,1.4889440551128883,1,0
6.513326115031105,0.06909391888975143,1,0
6.756349335197332,-0.08738172774385725,1,0
6.299782647377794,-0.6425846049854764,1,0
5.308622769171103,-2.720567928327342,1,0
7.053802463758939,-0.7232105963370843,1,0
8.120491869407529,0.001972070085037754,1,0
6.237080732392141,0.019402155876437264,1,0
7.227019852439721,1.253273480501514,1,0
6.023470827723727,-0.264519556214909,1,0
7.446885200828917,0.943827294170453,1,0
6.145451247149857,0.4385685316290504,1,0
6.214864045094398,-0.6750546566425444,1,0
6.0265490850269625,-0.5332192374691824,1,0
4.824904504013295,-1.961436373708904,1,0
6.9684823309709945,1.4664998653097356,1,0
8.040037950704486,1.8026938260951435,1,0
6.484567583570682,0.18933690627664213,1,0
8.496369204500553,2.940727836879599,1,0
6.248196301437203,-1.4457064633693903,1,0
7.15416719688273,1.4063833842891862,1,0
6.343487398319303,-2.4995333587671604,1,0
6.249904481380321,-0.8755590473828178,1,0
6.19828240237975,0.5171003954603942,1,0
5.4165305555509455,1.632638177630323,1,0
6.342724824676175,-0.7900140363417241,1,0
5.742359621483791,-0.6770743526998073,1,0
5.6021216388302655,0.32061774997698383,1,0
5.901440923176108,0.4725948335207347,1,0
6.690023896016298,2.1409524814149936,1,0
5.482358314753858,0.8478563499805696,1,0
6.1579007990110695,0.5609992949232292,1,0
